;alpha_KS_Matrix7-3sub;
Wavenumbers [1/cm];Absorbance;
4291,0511;-0,004188019;
4290,8100;-0,004246886;
4290,5689;-0,004261106;
4290,3278;-0,004220552;
4290,0867;-0,00417516;
4289,8456;-0,004169329;
4289,6045;-0,00421725;
4289,3633;-0,004246014;
4289,1222;-0,004217452;
4288,8811;-0,004199479;
4288,6400;-0,004216485;
4288,3989;-0,004246959;
4288,1578;-0,004265466;
4287,9167;-0,004244975;
4287,6756;-0,004229837;
4287,4345;-0,004271085;
4287,1933;-0,004330017;
4286,9522;-0,004357789;
4286,7111;-0,004347403;
4286,4700;-0,004293816;
4286,2289;-0,004229118;
4285,9878;-0,004213611;
4285,7467;-0,004242285;
4285,5056;-0,00427602;
4285,2645;-0,004299789;
4285,0233;-0,00430031;
4284,7822;-0,00429361;
4284,5411;-0,004327534;
4284,3000;-0,004380558;
4284,0589;-0,004386269;
4283,8178;-0,004344064;
4283,5767;-0,004298259;
4283,3356;-0,004258798;
4283,0945;-0,004207344;
4282,8533;-0,004169257;
4282,6122;-0,004175615;
4282,3711;-0,004216061;
4282,1300;-0,004294598;
4281,8889;-0,004403073;
4281,6478;-0,004480542;
4281,4067;-0,004478934;
4281,1656;-0,004422804;
4280,9245;-0,00439757;
4280,6833;-0,004439351;
4280,4422;-0,004476706;
4280,2011;-0,004461724;
4279,9600;-0,004444667;
4279,7189;-0,00444235;
4279,4778;-0,004405844;
4279,2367;-0,004348667;
4278,9956;-0,004337762;
4278,7545;-0,004387824;
4278,5134;-0,004442044;
4278,2722;-0,004458684;
4278,0311;-0,004438776;
4277,7900;-0,00437913;
4277,5489;-0,004308347;
4277,3078;-0,004272212;
4277,0667;-0,004268908;
4276,8256;-0,004299955;
4276,5845;-0,004349822;
4276,3434;-0,004372233;
4276,1022;-0,004370532;
4275,8611;-0,004381313;
4275,6200;-0,004421348;
4275,3789;-0,004449605;
4275,1378;-0,004430145;
4274,8967;-0,00441536;
4274,6556;-0,004428996;
4274,4145;-0,004438447;
4274,1734;-0,004464769;
4273,9322;-0,00450092;
4273,6911;-0,004488502;
4273,4500;-0,004464781;
4273,2089;-0,00448188;
4272,9678;-0,004514442;
4272,7267;-0,004555422;
4272,4856;-0,004586616;
4272,2445;-0,004546715;
4272,0034;-0,004446936;
4271,7622;-0,004388131;
4271,5211;-0,004416349;
4271,2800;-0,004480547;
4271,0389;-0,004556206;
4270,7978;-0,004607265;
4270,5567;-0,00457104;
4270,3156;-0,004517605;
4270,0745;-0,004556755;
4269,8334;-0,004644644;
4269,5922;-0,00466534;
4269,3511;-0,004608065;
4269,1100;-0,004589807;
4268,8689;-0,004675302;
4268,6278;-0,004774874;
4268,3867;-0,00480297;
4268,1456;-0,004760189;
4267,9045;-0,004694746;
4267,6634;-0,004691592;
4267,4222;-0,004742228;
4267,1811;-0,004773615;
4266,9400;-0,004801772;
4266,6989;-0,00480332;
4266,4578;-0,004708886;
4266,2167;-0,004599557;
4265,9756;-0,004598501;
4265,7345;-0,004674299;
4265,4934;-0,004726627;
4265,2523;-0,004719951;
4265,0111;-0,004683844;
4264,7700;-0,004651901;
